x,y
-20.06096369,-1743.87418
7.71689049,108.2780501
-15.52476527,-1405.400035
35.70111855,-4665.541541
-21.34311085,-2032.740506
-5.904642563,-371.1462827
26.63911449,-2319.050604
-11.69855306,-741.6336259
-26.11960944,-2631.86944
-10.60877174,-390.7336496
-30.41665843,-4445.208685
-5.929859859,62.32382636
11.84006945,-355.9784738
-26.8144664,-3124.425321
37.14332222,-5001.059934
23.14200289,-1939.182581
-18.00511463,-1659.58506
31.17766309,-3310.948955
-4.114427573,-8.116037223
17.59689561,-930.8030522
-21.22149159,-1963.626591
23.05198172,-2018.091428
23.4221481,-1907.268334
20.79291589,-1135.437138
-29.05346952,-3885.584167
-32.88414416,-4518.79973
3.374084735,74.28136222
20.88620443,-1347.180419
-49.89872234,-10785.90112
-30.90169201,-4452.89606
23.6013737,-1923.482779
49.55445027,-9376.090545
-30.28706972,-4394.462738
-26.71095681,-3174.990733
-16.48092449,-1696.73475
-36.09697865,-5825.895162
-16.34818352,-1339.910233
6.614612423,-136.9799669
-3.900663435,2.374275058
39.15452028,-5475.691567
-38.2601327,-6317.1916
-39.38199091,-6583.690534
-10.81096282,-660.9325629
19.67431451,-1132.548649
38.85269647,-5321.728507
-45.37960628,-8652.640045
-20.78224283,-1938.857289
45.37484448,-7214.509955
26.09696584,-2091.089598
-44.42294639,-8335.215589
-47.15756871,-9698.506829
42.70709697,-6883.911108
-12.94097193,-956.4669845
-48.41662612,-10493.53095
0.363624308,6.034856981
44.91540735,-7016.602877
43.24382734,-7074.392776
-44.62933326,-8437.882431
41.45521192,-6410.32945
0.375351201,118.6468935
-30.84599792,-4477.146672
11.88346394,-426.542019
37.53227596,-5047.315097
-8.012209894,-218.7615168
43.04320383,-6810.618052
3.035885265,20.35082477
34.43974668,-4347.071684
26.05050413,-2270.166315
14.89480214,-703.127621
42.92898978,-6707.905925
19.8579522,-1237.548603
-27.16912009,-3139.452947
20.34074531,-1244.691398
-26.19675684,-2911.475958
4.033597934,-98.67402563
-12.27387533,-947.6202157
13.28824018,-594.5956074
48.75986832,-9010.369506
27.6930108,-2574.717908
21.68817133,-1534.006482
34.26202016,-3974.270495
-23.80858835,-2733.590283
-3.871664723,-112.9216365
-13.70782545,-723.1792696
11.69943699,-504.1816627
-19.05503344,-1644.827256
13.26565312,-368.2433251
27.90529712,-2656.182916
38.80381721,-5204.372466
17.88380479,-1213.457905
-28.56048815,-3854.138502
-30.32579821,-4284.132936
-8.939213793,-355.8294248
26.69815663,-2028.158528
28.66994452,-2986.600955
9.959558909,-257.4548673
-33.99389789,-5031.347928
-31.23890705,-4598.159783
35.9134723,-4868.807864
1.530239761,-155.6274189
-3.101446837,0.643173759
-49.47241442,-10832.38165
25.76011821,-2163.567423
1.368493095,-32.30226249
-5.809582436,-206.9470923
47.44532586,-8431.803125
-14.96748724,-1010.559401
-30.23000008,-4202.816293
-2.140704272,132.4604532
38.88932839,-5261.961329
5.982634508,-276.5418077
-25.08817121,-2984.368397
-23.50350656,-2567.223994
6.338029936,-169.3701104
29.31561129,-3049.264844
-47.88218786,-10074.11994
23.69154865,-1883.802824
-9.88618686,-761.1281556
21.006572,-1361.921294
14.11009812,-618.8581099
14.77929443,-288.112558
45.87259109,-7375.350059
1.566863553,162.0625079
-48.71538617,-10621.44638
32.85939316,-3672.19875
12.65351284,-469.3995944
10.83868873,-260.0000229
20.5995399,-1291.738971
3.506016159,67.26990515
-43.88598002,-8592.599497
5.562170443,-96.41388501
-43.31018983,-8396.785977
25.19889684,-2306.139634
-46.46116705,-9109.066514
45.8621908,-7425.192928
-12.61866747,-818.3653088
49.67878324,-9413.141257
25.87311542,-2068.461892
-41.66473761,-7717.094382
1.273999462,-8.913349727
36.69363387,-5012.643052
15.93355215,-821.8745742
-43.1146218,-8454.441409
42.51414915,-6866.027751
-46.06445584,-9020.708955
49.07209567,-9256.202402
19.9633553,-1300.130257
36.19834406,-4962.208791
-33.16408559,-4901.097739
19.05050308,-1044.099336
34.84806594,-4337.011578
-27.04825066,-3181.156975
-37.51036146,-6236.316902
-44.88177683,-8599.577058
13.95163531,-383.1673539
-42.17882411,-8008.348863
27.07040601,-2441.139358
5.71308053,73.10746846
-40.59358439,-7163.027662
22.84606799,-1904.275816
-7.989187507,-356.353308
17.08473959,-1094.310337
30.6677375,-3534.585302
38.97832285,-5008.944589
16.82163282,-802.2429627
32.89565072,-3602.571238
46.8008641,-8085.462696
24.95716065,-2226.303063
8.114788668,-110.7881646
45.24745711,-7162.967218
-28.51687983,-3854.657296
-29.40089862,-4290.705329
48.53704759,-9116.522134
1.644718227,58.12853565
-26.18087469,-2958.947215
-11.37770482,-706.082483
-28.71717731,-3816.08695
-20.16062801,-1792.572517
18.8050503,-1182.518511
12.26230268,-351.5016878
-39.64476262,-6796.180736
-21.39511067,-2034.020473
10.13570052,-381.7884667
36.84883112,-5071.933501
31.56851575,-3423.841293
-12.50823969,-713.3639661
-1.702757913,-137.8566677
27.78234269,-2461.878695
-28.10094154,-3484.817456
-34.48268175,-5264.60069
-25.30971756,-2934.477739
47.71551714,-8561.911936
4.075906966,-54.0650445
16.4646441,-900.6049824
17.3076236,-1034.898524
